Security Code,Security Id,Security Name
504180,STDBAT,STANDARD BATTERIES LTD.
504212,UNIVCABLES,UNIVERSAL CABLES LTD.
504220,WSIND,W.S.INDUSTRIES (INDIA) LTD.-$
504240,DLTNCBL,DELTON CABLES LTD.
504258,LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.
504273,MODULEX,Modulex Construction Technologies Ltd
504286,DELTAMAGNT,Delta Manufacturing Ltd
504335,PAZEL,Pazel International Ltd
504340,CONFINT,Confidence Finance And Trading Limited
504341,RELTD,Ravindra Energy Ltd
504346,GDTRAGN,G.D.TRADING & AGENCIES LTD.
504351,EMPOWER,EMPOWER INDIA LTD.
504356,ZMULTIPU,MULTIPURPOSE TRADING & AGENCIES LTD.
504360,REMISIN,REMI SALES & ENGINEERING LTD.
504365,RIDHISYN,RIDHI SYNTHETICS LTD.
504375,SOFTBPO,SOFTBPO GLOBAL SERVICES LTD.
504378,NYSSACORP,Nyssa Corporation Limited
504380,ZVINADTR,VINADITYA TRADING CO.LTD.
504390,AVTIL,AVTIL Enterprise Ltd
504392,KRISHNA,Krishna Ventures Limited
504397,GANHOLD,GANESH HOLDINGS LTD.
504398,SJCORP,SJ CORPORATION LTD.
504605,UNIABEXAL,UNI ABEX ALLOY PRODUCTS LTD.
504614,SARDAEN,SARDA ENERGY & MINERALS LTD.-$
504646,BGWTATO,BHAGWATI AUTOCAST LTD.
504648,BOMBWIR,BOMBAY WIRE ROPES LTD.
504673,UNIVPRIM,UNIVERSAL PRIME ALUMINIUM LTD.
504697,GALADA,GALADA POWER & TELECOMMUNICATION LTD.
504717,STRIPMT,STEEL STRIPS LTD.
504731,IBRIGST,INDIAN BRIGHT STEEL CO.LTD.
504741,INDIANHUME,INDIAN HUME PIPE CO.LTD.
504746,INLCM,INDIAN LINK CHAIN MANUFACTURES LTD.
504786,INVPRECQ,INVESTMENT & PRECISION CASTINGS LTD.
504810,INFORTEC,INFORMED TECHNOLOGIES INDIA LTD.
504840,KAIRA,KAIRA CAN CO.LTD.
504879,ORIENTABRA,ORIENT ABRASIVES LTD.-$
504882,NATIONSTD,NATIONAL STANDARD (INDIA) LTD.
504908,DUNCANENG,Duncan Engineering Ltd-$
504918,SANDUMA,SANDUR MANGANESE & IRON ORES LTD.
504959,STOVACQ,STOVEC INDUSTRIES LTD.
504961,TATAYODOGA,TAYO ROLLS LTD.-$
504966,TINPLATE,TINPLATE COMPANY OF INDIA LTD.
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
504988,ZWELCAST,WELCAST STEELS LTD.
504998,WMINIMT,WESTERN MINISTIL LTD.
505010,AUTOAXLES,AUTOMOTIVE AXLES LTD.
505029,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.
505036,ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$
505075,SETCO,SETCO AUTOMOTIVE LTD.
505141,SCOOTER,SCOOTERS INDIA LTD.
505160,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LTD.
505163,ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.-$
505192,SMLISUZU,SML ISUZU LIMITED
505196,TIL,TIL LTD.
505200,EICHERMOT,EICHER MOTORS LTD.
505212,JAINEX,JAINEX AAMCOL LTD.
505216,ALFREDHE,ALFRED HERBERT (INDIA) LTD.
505230,CIMMCO,CIMMCO LTD.
505232,VELJAN,Veljan Denison Limited
505242,DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$
505250,GGDANDE,G.G.DANDEKAR MACHINE WORKS LTD.
505255,GMM,GMM PFAUDLER LTD.
505283,KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.
505285,TULIVE,Tulive Developers Limited
505299,KPT,KPT Industries Ltd
505302,LXMIATO,LAKSHMI AUTOMATIC LOOM WORKS LTD.
505320,LYNMC,LYNX MACHINERY & COMMERCIALS LTD.
505324,MANUGRAPH,MANUGRAPH INDIA LTD.-$
505336,MIRCH,Mirch Technologies (India) Ltd
505355,NESCO,NESCO LTD.
505358,INTEGRAEN,INTEGRA ENGINEERING INDIA LTD.
505368,REVATHI,REVATHI EQUIPMENT LTD.-$
505400,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.
505412,WENDT,WENDT (INDIA) LTD.
505504,SINDUVA,SINDU VALLEY TECHNOLOGIES LTD.
505506,AXONVL,Axon Ventures Ltd
505509,RESPONIND,RESPONSIVE INDUSTRIES LTD.
505515,SHYMINV,SHYAMKAMAL INVESTMENTS LTD.
505523,MAHACORP,MAHARASHTRA CORPORATION LTD.
505526,DOLAT,DOLAT INVESTMENTS LTD.
505533,WESTLIFE,WESTLIFE DEVELOPMENT LTD.
505537,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.
505576,GOLDCORP,Goldcrest Corporation Limited
505583,WWTECHHOL,W W TECHNOLOGY HOLDINGS LTD.
505585,ZKOVALIN,KOVALAM INVESTMENT & TRADING CO.LTD.
505590,SVPGLOB,SVP GLOBAL VENTURES LTD.
505594,MULTIIN,MULTIPLUS HOLDINGS LTD.
505650,SKYLMILAR,SKYLINE MILLARS LTD.
505658,REMIPRO,REMI PROCESS PLANT & MACHINERY LTD.
505681,BIMETAL,BIMETAL BEARINGS LTD.-$
505685,TAPARIA,TAPARIA TOOLS LTD.
505688,BHARATGEAR,BHARAT GEARS LTD.
505690,BRADYM,BRADY & MORRIS ENGINEERING CO.LTD.
505693,LATIMMETAL,La Tim Metal & Industries Ltd
505700,ELECON,ELECON ENGINEERING CO.LTD.
505703,DECANBRG,DECCAN BEARINGS LTD.
505710,GRAUWEIL,GRAUER & WEIL (INDIA) LTD.-$
505711,GAJRA,GAJRA BEVEL GEARS LTD.-$
505712,HIMTEK,Him Teknoforge Ltd
505714,GABRIEL,GABRIEL INDIA LTD.-$
505720,HERCULES,HERCULES HOISTS LTD.
505725,HINDEVER,HINDUSTAN EVEREST TOOLS LTD.
505726,IFBIND,IFB INDUSTRIES LTD.
505729,SINGER,SINGER INDIA LTD.
